budget_label,family,horizon,n,r0_mean,r_t_mean,relearn_growth_mean,survival_decay_mean,conditional_resurrection_mean,conditional_resurrection_std,conditional_auc_mean,conditional_auc_std,mean_target_margin_growth_mean,conditional_mean_target_margin_growth_mean,retain_nll_mean,refusal_rate_mean
lr0p01,HLC-SG,32,9,0.0555555555555555,0.1666666666666666,0.111111111111111,0.111111111111111,0.111111111111111,0.1178511301977579,0.9357638888888888,0.0656229331685111,1.122333879824038,1.1676729873374656,4.981783919864231,0.0
lr0p01,HLC-SG,128,9,0.0555555555555555,0.9629629629629628,0.9074074074074072,0.9074074074074072,0.9629629629629628,0.1111111111111111,0.4584780092592593,0.1776084676474308,4.3492039574517145,4.393928775080927,8.097233083513048,0.0
lr0p01,HLC-SG,512,9,0.0555555555555555,1.0,0.9444444444444444,0.9444444444444444,1.0,0.0,0.1192491319444444,0.0536297425270258,7.0915869253653065,7.0014640472553396,10.50277762942844,0.0
lr0p01,NPO + paraphrases,32,9,0.1666666666666666,0.9629629629629628,0.7962962962962963,0.7962962962962963,0.9555555555555556,0.0881917103688196,0.453125,0.1752230721109523,1.3762675656212702,1.522105693817139,4.474007500542535,0.0
lr0p01,NPO + paraphrases,128,9,0.1666666666666666,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.1188368055555555,0.050673630620647,3.127890595683345,3.2011291609870063,7.344259368048774,0.0
lr0p01,NPO + paraphrases,512,9,0.1666666666666666,1.0,0.8333333333333334,0.8333333333333334,1.0,0.0,0.0297092013888888,0.0126684076551617,4.999567773607042,4.758056683010525,9.906896962059868,0.0
lr0p01,Strong NPO,32,9,0.0555555555555555,0.1481481481481481,0.0925925925925925,0.0925925925925925,0.1333333333333333,0.2,0.9666666666666666,0.05,2.2796428645098654,2.3437556973210087,5.6143163839976,0.0
lr0p01,Strong NPO,128,9,0.0555555555555555,0.6666666666666666,0.6111111111111112,0.6111111111111112,0.662962962962963,0.37097635610659,0.7148148148148148,0.1994144108460731,4.807568709055583,4.8231675377598515,9.074874189164904,0.0
lr0p01,Strong NPO,512,9,0.0555555555555555,1.0,0.9444444444444444,0.9444444444444444,1.0,0.0,0.2569444444444444,0.1283228063187825,8.578393000143546,8.471531173917983,9.853013197580973,0.0
lr0p01,Syntactic diversification,32,9,0.0555555555555555,0.0925925925925925,0.037037037037037,0.037037037037037,0.0925925925925925,0.1689656258416172,0.9768518518518516,0.0422414064604043,1.8341459698147244,2.0373451586122866,4.85163935025533,0.0
lr0p01,Syntactic diversification,128,9,0.0555555555555555,0.4814814814814814,0.4259259259259259,0.4259259259259259,0.4481481481481481,0.2298013097771826,0.7747685185185186,0.1937540446610879,3.475585001486319,3.634977761021367,9.795731491512722,0.0
lr0p01,Syntactic diversification,512,9,0.0555555555555555,1.0,0.9444444444444444,0.9444444444444444,1.0,0.0,0.3557291666666666,0.1546657970886339,7.604945050345527,7.580954348599469,9.608736832936604,0.0
